fk_codigo_Filial,CodigoTransacao,DataTransacao
1,222663,28/04/2022
1,236095,30/05/2022
1,193152,11/02/2022
1,177120,27/12/2021
1,230612,16/05/2022
1,265827,09/08/2022
1,265431,09/08/2022
1,142650,18/09/2021
1,302121,09/11/2022
1,154694,23/10/2021
1,223243,29/04/2022
1,170326,08/12/2021
1,284980,26/09/2022
1,284584,26/09/2022
1,230185,15/05/2022
1,331528,12/01/2023
1,146946,05/10/2021
1,285891,27/09/2022
1,318967,12/12/2022
1,164207,23/11/2021
1,143467,21/09/2021
1,258750,21/07/2022
1,259143,22/07/2022
1,221932,27/04/2022
1,157746,02/11/2021
1,264411,05/08/2022
1,238760,06/06/2022
1,142942,18/09/2021
1,154590,23/10/2021
1,331820,12/01/2023
1,282946,21/09/2022
1,245860,21/06/2022
1,290538,10/10/2022
1,261770,29/07/2022
1,237875,02/06/2022
1,168598,02/12/2021
1,274886,01/09/2022
1,163031,18/11/2021
1,239052,06/06/2022
1,260786,27/07/2022
1,185722,22/01/2022
1,343426,09/02/2023
1,199782,04/03/2022
1,261182,27/07/2022
1,324352,22/12/2022
1,220679,25/04/2022
1,293600,18/10/2022
1,226837,10/05/2022
1,298097,30/10/2022
1,146223,01/10/2021
1,170535,09/12/2021
1,303576,14/11/2022
1,196846,23/02/2022
1,303138,11/11/2022
1,258286,21/07/2022
1,254086,12/07/2022
1,200292,07/03/2022
1,207732,22/03/2022
1,207336,22/03/2022
1,230440,16/05/2022
1,333892,18/01/2023
1,206026,18/03/2022
1,147170,05/10/2021
1,282878,21/09/2022
1,301676,08/11/2022
1,298268,31/10/2022
1,258578,21/07/2022
1,267840,15/08/2022
1,263229,03/08/2022
1,258971,22/07/2022
1,198366,28/02/2022
1,203679,14/03/2022
1,317574,07/12/2022
1,238984,06/06/2022
1,226769,10/05/2022
1,165370,24/11/2021
1,283708,23/09/2022
1,170467,09/12/2021
1,276018,05/09/2022
1,208088,23/03/2022
1,206681,20/03/2022
1,253371,11/07/2022
1,299443,02/11/2022
1,290366,10/10/2022
1,263521,03/08/2022
1,330687,10/01/2023
1,202320,11/03/2022
1,191057,07/02/2022
1,344962,13/02/2023
1,260293,26/07/2022
1,162859,18/11/2021
1,268841,17/08/2022
1,187602,26/01/2022
1,165549,25/11/2021
1,337811,28/01/2023
1,191923,09/02/2022
1,270414,22/08/2022
1,229892,13/05/2022
1,157666,01/11/2021
1,281550,18/09/2022
1,225150,05/05/2022
1,206764,21/03/2022
1,269372,18/08/2022
1,330979,10/01/2023
1,202612,11/03/2022
1,345254,13/02/2023
1,302004,08/11/2022
1,301608,08/11/2022
1,159177,08/11/2021
1,145835,29/09/2021
1,190712,06/02/2022
1,185136,20/01/2022
1,148642,09/10/2021
1,165445,25/11/2021
1,307368,21/11/2022
1,306972,21/11/2022
1,317506,07/12/2022
1,169734,07/12/2021
1,210313,28/03/2022
1,337949,29/01/2023
1,157139,28/10/2021
1,225442,05/05/2022
1,311097,24/11/2022
1,227900,11/05/2022
1,165302,24/11/2021
1,159824,09/11/2021
1,275950,05/09/2022
1,316188,05/12/2022
1,252907,11/07/2022
1,242636,15/06/2022
1,337274,26/01/2023
1,289592,06/10/2022
1,289196,06/10/2022
1,169630,07/12/2021
1,323962,21/12/2022
1,163834,22/11/2021
1,243759,17/06/2022
1,311389,24/11/2022
1,228588,11/05/2022
1,176472,24/12/2021
1,225769,06/05/2022
1,218227,20/04/2022
1,228192,11/05/2022
1,273889,30/08/2022
1,253199,11/07/2022
1,336543,25/01/2023
1,202544,11/03/2022
1,330515,10/01/2023
1,330911,10/01/2023
1,337170,26/01/2023
1,323475,20/12/2022
1,271431,24/08/2022
1,179520,04/01/2022
1,187889,27/01/2022
1,270378,21/08/2022
1,327280,02/01/2023
1,163730,22/11/2021
1,178988,03/01/2022
1,341440,06/02/2023
1,293162,17/10/2022
1,218519,20/04/2022
1,157071,28/10/2021
1,162464,17/11/2021
1,333732,17/01/2023
1,333336,17/01/2023
1,262711,02/08/2022
1,316120,05/12/2022
1,158258,03/11/2021
1,251580,06/07/2022
1,271723,24/08/2022
1,309851,22/11/2022
