ID;Nome;Grupo_de_mercadorias;Categoria
60561;Presunto Lebon Magro na Peça Inteira Kg;422;Alimentos Resfriados e Congelados
61339;Salsicha Lebon 26cm 10.400 Kg;422;Alimentos Resfriados e Congelados
61346;Presunto Seara Cozido Magro 13.800 Kg;422;Alimentos Resfriados e Congelados
61353;Salsicha Lebon 20cm Kg;422;Alimentos Resfriados e Congelados
61407;Mortadela de Frango Lebon na Peça Inteira Kg;422;Alimentos Resfriados e Congelados
61445;Peito de Frango Seara Defumado na Peça Inteira 6.300 Kg;422;Alimentos Resfriados e Congelados
61452;Salame Seara Gourmet Tipo Italiano Pequeno 5.300 Kg;422;Alimentos Resfriados e Congelados
61469;Lombo Seara Gourmet Tipo Canadense Defumado na Peça Inteira Kg;422;Alimentos Resfriados e Congelados
61537;Lanche Lebon Bruster Kg;422;Alimentos Resfriados e Congelados
61629;Costela Suína Seara Kg;422;Alimentos Resfriados e Congelados
2141176;Saco Para Alimento Royalpack Freezer 2kg com 50un - ;638;Bazar
2141466;Papel Higiênico Florax Neutro Folha Simples 30m com 04 Rolo;0;Limpeza
2141480;Papel Higiênico Florax Folha Simples Neutro 60m com 04 Rolos - Fardo 16xrl;0;Limpeza
2141848;Isca Jimo Para Rato 25g com 04un - ;0;Limpeza
2142364;Desinfetante Pinho Bril Brisa do MAR 1l - Caixa 12x1l;0;Limpeza
2142395;Desinfetante Pinho Bril Flores de Limão 1l - Caixa 12x1l;0;Limpeza
2142913;Aparelho Para Barbear BIC Comfort 3 Sensitive - ;2915;Cuidado Pessoal
2142937;Sabão EM Barra Zavaski Glicerinado 200g - ;0;Limpeza
2142944;Sabão EM Barra Zavaski Limão 200g com 05un - ;0;Limpeza
2142951;Sabão EM Barra Zavaski Azul 200g com 05un - ;0;Limpeza
2142968;Prendedor Zavaski Plástico Pequeno com 12un;0;Limpeza
2142975;Querosene Zavaski 1l - Caixa 12x1l;0;Limpeza
2142982;Querosene Zavaski 500mll;0;Limpeza
2143590;Sabão EM Barra Zavaski Coco 400g - Caixa 40x400g;0;Limpeza
2143606;água Sanitária Zavaski 1l - Caixa 12x1l;0;Limpeza
2143613;água Sanitária Zavaski 2l - Caixa 6x2 L;0;Limpeza
